date,category,amount,type,payment_method
2026-01-01,Salary,30000,Income,Bank
2026-01-02,Food,250,Expense,UPI
2026-01-03,Transport,100,Expense,Cash
2026-01-04,Shopping,1200,Expense,Card
2026-01-05,Food,300,Expense,UPI
2026-01-06,Entertainment,500,Expense,UPI
2026-01-07,Transport,150,Expense,Cash
2026-01-08,Rent,8000,Expense,Bank
2026-01-09,Food,180,Expense,UPI
2026-01-10,Shopping,750,Expense,Card
2026-01-11,Transport,120,Expense,UPI
2026-01-12,Food,220,Expense,Cash
2026-01-13,Entertainment,300,Expense,UPI
2026-01-14,Food,280,Expense,UPI
2026-01-15,Transport,200,Expense,Cash
2026-01-16,Shopping,1500,Expense,Card
2026-01-17,Food,190,Expense,UPI
2026-01-18,Transport,100,Expense,Cash
2026-01-19,Entertainment,450,Expense,UPI
2026-01-20,Food,350,Expense,UPI
2026-01-21,Shopping,900,Expense,Card
2026-01-22,Transport,180,Expense,Cash
2026-01-23,Food,240,Expense,UPI
2026-01-24,Entertainment,600,Expense,Card
2026-01-25,Food,200,Expense,UPI
2026-01-26,Transport,120,Expense,Cash
2026-01-27,Shopping,1100,Expense,Card
2026-01-28,Food,300,Expense,UPI
2026-01-29,Transport,150,Expense,Cash
2026-01-30,Food,260,Expense,UPI
2026-01-31,Entertainment,350,Expense,UPI
2026-02-01,Salary,30000,Income,Bank
2026-02-02,Food,280,Expense,UPI
2026-02-03,Transport,120,Expense,Cash
2026-02-04,Shopping,1800,Expense,Card
2026-02-05,Food,250,Expense,UPI
2026-02-06,Entertainment,400,Expense,UPI
2026-02-07,Transport,150,Expense,Cash
2026-02-08,Rent,8000,Expense,Bank
2026-02-09,Food,200,Expense,UPI
2026-02-10,Shopping,950,Expense,Card
2026-02-11,Transport,100,Expense,UPI
2026-02-12,Food,300,Expense,Cash
2026-02-13,Entertainment,500,Expense,UPI
2026-02-14,Food,220,Expense,UPI
2026-02-15,Transport,180,Expense,Cash
2026-02-16,Shopping,1300,Expense,Card
2026-02-17,Food,260,Expense,UPI
2026-02-18,Transport,120,Expense,Cash
2026-02-19,Entertainment,450,Expense,UPI
2026-02-20,Food,350,Expense,UPI
2026-02-21,Shopping,1000,Expense,Card
2026-02-22,Transport,200,Expense,Cash
2026-02-23,Food,240,Expense,UPI
2026-02-24,Entertainment,700,Expense,Card
2026-02-25,Food,280,Expense,UPI
2026-02-26,Transport,150,Expense,Cash
2026-02-27,Shopping,1200,Expense,Card
2026-02-28,Food,300,Expense,UPI
